iter	Passed	Remaining
743	1252	431
744	1254	429
745	1255	427
746	1257	425
747	1258	423
748	1259	422
749	1260	420
750	1262	418
751	1263	416
752	1264	414
753	1265	412
754	1266	411
755	1268	409
756	1269	407
757	1272	406
758	1274	404
759	1275	402
760	1277	401
761	1279	399
762	1280	397
763	1282	396
764	1284	394
765	1286	392
766	1287	391
767	1289	389
768	1291	387
769	1292	386
770	1294	384
771	1295	382
772	1296	380
773	1298	379
774	1299	377
775	1301	375
776	1303	374
777	1304	372
778	1306	370
779	1307	368
780	1308	367
781	1310	365
782	1312	363
783	1313	361
784	1314	360
785	1316	358
786	1318	356
787	1319	355
788	1321	353
789	1322	351
790	1323	349
791	1325	347
792	1326	346
793	1327	344
794	1328	342
795	1331	341
796	1333	339
797	1334	337
798	1335	336
799	1337	334
800	1338	332
801	1339	330
802	1340	328
803	1342	327
804	1343	325
805	1345	323
806	1346	321
807	1347	320
808	1349	318
809	1350	316
810	1351	315
811	1353	313
812	1355	311
813	1356	310
814	1357	308
815	1360	306
816	1361	304
817	1362	303
818	1364	301
819	1365	299
820	1366	298
821	1368	296
822	1370	294
823	1371	292
824	1373	291
825	1374	289
826	1375	287
827	1377	286
828	1378	284
829	1379	282
830	1380	280
831	1381	279
832	1383	277
833	1384	275
834	1385	273
835	1386	272
836	1388	270
837	1389	268
838	1391	266
839	1392	265
840	1393	263
841	1394	261
842	1395	259
843	1397	258
844	1399	256
845	1400	255
846	1402	253
847	1404	251
848	1405	249
849	1406	248
850	1408	246
851	1410	244
852	1412	243
853	1413	241
854	1414	239
855	1416	238
856	1417	236
857	1418	234
858	1419	233
859	1421	231
860	1422	229
861	1423	227
862	1425	226
863	1426	224
864	1428	222
865	1429	221
866	1430	219
867	1432	217
868	1434	216
869	1435	214
870	1437	212
871	1439	211
872	1440	209
873	1442	208
874	1444	206
875	1445	204
876	1446	202
877	1447	201
878	1450	199
879	1452	198
880	1452	196
881	1453	194
882	1455	192
883	1456	191
884	1458	189
885	1459	187
886	1461	186
887	1463	184
888	1465	182
889	1466	181
890	1467	179
891	1468	177
892	1469	176
893	1471	174
894	1472	172
895	1474	171
896	1476	169
897	1477	167
898	1478	166
899	1479	164
900	1481	162
901	1481	161
902	1482	159
903	1484	157
904	1485	155
905	1486	154
906	1488	152
907	1490	150
908	1491	149
909	1492	147
910	1494	145
911	1495	144
912	1496	142
913	1497	140
914	1499	139
915	1501	137
916	1504	136
917	1506	134
918	1507	132
919	1509	131
920	1510	129
921	1511	127
922	1513	126
923	1514	124
924	1516	122
925	1517	121
926	1519	119
927	1520	117
928	1522	116
929	1523	114
930	1525	113
931	1526	111
932	1527	109
933	1528	108
934	1529	106
935	1531	104
936	1532	103
937	1533	101
938	1535	99
939	1536	98
940	1537	96
941	1539	94
942	1540	93
943	1541	91
944	1543	89
945	1545	88
946	1546	86
947	1548	84
948	1552	83
949	1553	81
950	1555	80
951	1556	78
952	1557	76
953	1559	75
954	1560	73
955	1561	71
956	1563	70
957	1564	68
958	1565	66
959	1566	65
960	1568	63
961	1570	62
962	1573	60
963	1574	58
964	1576	57
965	1578	55
966	1581	53
967	1583	52
968	1584	50
969	1585	49
970	1587	47
971	1589	45
972	1592	44
973	1594	42
974	1596	40
975	1598	39
976	1599	37
977	1601	36
978	1602	34
979	1605	32
980	1606	31
981	1609	29
982	1611	27
983	1612	26
984	1616	24
985	1618	22
986	1620	21
987	1622	19
988	1624	18
989	1626	16
990	1628	14
991	1631	13
992	1633	11
993	1635	9
994	1638	8
995	1641	6
996	1642	4
997	1644	3
998	1645	1
999	1646	0
